in00 (subrange from 0 to 2e-06) X,in00 (subrange from 0 to 2e-06) Y,in01 (subrange from 0 to 2e-06) X,in01 (subrange from 0 to 2e-06) Y,in10 (subrange from 0 to 2e-06) X,in10 (subrange from 0 to 2e-06) Y,in11 (subrange from 0 to 2e-06) X,in11 (subrange from 0 to 2e-06) Y,s1 (subrange from 0 to 2e-06) X,s1 (subrange from 0 to 2e-06) Y,s0 (subrange from 0 to 2e-06) X,s0 (subrange from 0 to 2e-06) Y,out (subrange from 0 to 2e-06) X,out (subrange from 0 to 2e-06) Y
7.856830393956617e-11,0,7.856830393956617e-11,0.33,7.856830393956617e-11,1,7.856830393956617e-11,0.66,7.856830393956617e-11,0.7856830393956616,7.856830393956617e-11,0,7.856830393956617e-11,-0.0001554765022271839
8.324841930124198e-11,0,8.324841930124198e-11,0.33,8.324841930124198e-11,1,8.324841930124198e-11,0.66,8.324841930124198e-11,0.8324841930124198,8.324841930124198e-11,0,8.324841930124198e-11,-0.0001753440384198584
8.668842755062009e-11,0,8.668842755062009e-11,0.33,8.668842755062009e-11,1,8.668842755062009e-11,0.66,8.668842755062009e-11,0.866884275506201,8.668842755062009e-11,0,8.668842755062009e-11,-0.0001884623923343558
8.987077389419472e-11,0,8.987077389419472e-11,0.33,8.987077389419472e-11,1,8.987077389419472e-11,0.66,8.987077389419472e-11,0.8987077389419472,8.987077389419472e-11,0,8.987077389419472e-11,-0.0002018343055976371
9.252115519219332e-11,0,9.252115519219332e-11,0.33,9.252115519219332e-11,1,9.252115519219332e-11,0.66,9.252115519219332e-11,0.9252115519219332,9.252115519219332e-11,0,9.252115519219332e-11,-0.0002150342266016188
9.585470206280739e-11,0,9.585470206280739e-11,0.33,9.585470206280739e-11,1,9.585470206280739e-11,0.66,9.585470206280739e-11,0.958547020628074,9.585470206280739e-11,0,9.585470206280739e-11,-0.0002350600635027166
9.79273510314037e-11,0,9.79273510314037e-11,0.33,9.79273510314037e-11,1,9.79273510314037e-11,0.66,9.79273510314037e-11,0.979273510314037,9.79273510314037e-11,0,9.79273510314037e-11,-0.000249565349528153
1e-10,0,1e-10,0.33,1e-10,1,1e-10,0.66,1e-10,1,1e-10,0,1e-10,-0.0002657404879037128
1.017131841854423e-10,0,1.017131841854423e-10,0.33,1.017131841854423e-10,1,1.017131841854423e-10,0.66,1.017131841854423e-10,1,1.017131841854423e-10,0,1.017131841854423e-10,-0.0002806998780778485
1.036555699686519e-10,0,1.036555699686519e-10,0.33,1.036555699686519e-10,1,1.036555699686519e-10,0.66,1.036555699686519e-10,1,1.036555699686519e-10,0,1.036555699686519e-10,-0.0002976960671230431
